panel_id	gene_family	missing_kind	manifest_path	suggested_path
wrky_candidate_01	WRKY_transcription_factor_candidate_01	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/wrky_candidate_01.cds.fasta	real_empirical_pilot/input/cds/wrky_candidate_01.cds.fasta
wrky_candidate_01	WRKY_transcription_factor_candidate_01	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/wrky_candidate_01.treefile	real_empirical_pilot/input/trees/wrky_candidate_01.treefile
constans_like_candidate_01	CONSTANS_like_transcription_factor_candidate_01	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/constans_like_candidate_01.cds.fasta	real_empirical_pilot/input/cds/constans_like_candidate_01.cds.fasta
constans_like_candidate_01	CONSTANS_like_transcription_factor_candidate_01	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/constans_like_candidate_01.treefile	real_empirical_pilot/input/trees/constans_like_candidate_01.treefile
immune_candidate_01	immune_or_host_interaction_candidate_01	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/immune_candidate_01.cds.fasta	real_empirical_pilot/input/cds/immune_candidate_01.cds.fasta
immune_candidate_01	immune_or_host_interaction_candidate_01	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/immune_candidate_01.treefile	real_empirical_pilot/input/trees/immune_candidate_01.treefile
housekeeping_negative_01	housekeeping_conserved_gene_01	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_01.cds.fasta	real_empirical_pilot/input/cds/housekeeping_negative_01.cds.fasta
housekeeping_negative_01	housekeeping_conserved_gene_01	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_01.treefile	real_empirical_pilot/input/trees/housekeeping_negative_01.treefile
housekeeping_negative_02	housekeeping_conserved_gene_02	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_02.cds.fasta	real_empirical_pilot/input/cds/housekeeping_negative_02.cds.fasta
housekeeping_negative_02	housekeeping_conserved_gene_02	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_02.treefile	real_empirical_pilot/input/trees/housekeeping_negative_02.treefile
gst_detox_candidate_01	GST_detoxification_candidate_01	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/gst_detox_candidate_01.cds.fasta	real_empirical_pilot/input/cds/gst_detox_candidate_01.cds.fasta
gst_detox_candidate_01	GST_detoxification_candidate_01	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/gst_detox_candidate_01.treefile	real_empirical_pilot/input/trees/gst_detox_candidate_01.treefile
alignment_sensitive_01	alignment_sensitive_family_01	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_01.cds.fasta	real_empirical_pilot/input/cds/alignment_sensitive_01.cds.fasta
alignment_sensitive_01	alignment_sensitive_family_01	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_01.treefile	real_empirical_pilot/input/trees/alignment_sensitive_01.treefile
alignment_sensitive_02	alignment_sensitive_family_02	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_02.cds.fasta	real_empirical_pilot/input/cds/alignment_sensitive_02.cds.fasta
alignment_sensitive_02	alignment_sensitive_family_02	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_02.treefile	real_empirical_pilot/input/trees/alignment_sensitive_02.treefile
saturated_01	high_divergence_family_01	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_01.cds.fasta	real_empirical_pilot/input/cds/saturated_01.cds.fasta
saturated_01	high_divergence_family_01	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_01.treefile	real_empirical_pilot/input/trees/saturated_01.treefile
saturated_02	high_divergence_family_02	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_02.cds.fasta	real_empirical_pilot/input/cds/saturated_02.cds.fasta
saturated_02	high_divergence_family_02	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_02.treefile	real_empirical_pilot/input/trees/saturated_02.treefile
short_low_information_01	short_low_information_family_01	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/short_low_information_01.cds.fasta	real_empirical_pilot/input/cds/short_low_information_01.cds.fasta
short_low_information_01	short_low_information_family_01	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/short_low_information_01.treefile	real_empirical_pilot/input/trees/short_low_information_01.treefile
paralogy_risk_01	possible_paralogy_duplication_risk_01	cds_fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/paralogy_risk_01.cds.fasta	real_empirical_pilot/input/cds/paralogy_risk_01.cds.fasta
paralogy_risk_01	possible_paralogy_duplication_risk_01	tree_file	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/paralogy_risk_01.treefile	real_empirical_pilot/input/trees/paralogy_risk_01.treefile
