# Approximate du -ah top 100 equivalent
size	path	type	recommendation	reason
183.7M	.	dir	inspect	workspace root
165.5M	.git	dir	keep	Git repository metadata is protected
165.4M	.git/objects	dir	keep	Git repository metadata is protected
32.5M	.git/objects/46	dir	keep	Git repository metadata is protected
32.4M	.git/objects/46/8424557a244117699249e5c9bd18f351235532	file	keep	Git repository metadata is protected
25.9M	.git/objects/59	dir	keep	Git repository metadata is protected
25.8M	.git/objects/59/50c0855179737f29ed77b33ef1952008598df3	file	keep	Git repository metadata is protected
24.0M	.git/objects/0c	dir	keep	Git repository metadata is protected
24.0M	.git/objects/0c/519e6f234482e23cbfd5de5211076cabe1fc47	file	keep	Git repository metadata is protected
7.7M	.git/objects/9a	dir	keep	Git repository metadata is protected
7.4M	.git/objects/9a/49fceee436b72f652a889d2e5a48745bf9ce40	file	keep	Git repository metadata is protected
6.2M	.git/objects/47	dir	keep	Git repository metadata is protected
6.2M	.git/objects/47/45de2c722d02fd895ee764b9fe6228d6734e17	file	keep	Git repository metadata is protected
6.1M	release_artifacts	dir	inspect	not matched by storage cleanup rules
6.1M	release_artifacts/BABAPPA_0.5.0_alpha_clean	dir	inspect	not matched by storage cleanup rules
5.9M	.git/objects/92	dir	keep	Git repository metadata is protected
5.9M	.git/objects/92/709ae4d2070cec45c590c7fed8601579482773	file	keep	Git repository metadata is protected
5.1M	src	dir	keep	protected source, report, package, or evidence artifact
5.0M	src/babappa	dir	keep	protected source, report, package, or evidence artifact
3.3M	.git/objects/40	dir	keep	Git repository metadata is protected
3.2M	.git/objects/40/2a8c1a0d77d9af7aab32c8285e4e124c880d1e	file	keep	Git repository metadata is protected
3.1M	.git/objects/78	dir	keep	Git repository metadata is protected
3.0M	.git/objects/78/ed7159daebdbe6e5e6da59440c28c810ec562e	file	keep	Git repository metadata is protected
2.8M	.git/objects/81	dir	keep	Git repository metadata is protected
2.8M	.git/objects/81/8e52dab0f8f8fbc133de66fa15486704b65421	file	keep	Git repository metadata is protected
2.5M	.git/objects/8d	dir	keep	Git repository metadata is protected
2.5M	release_artifacts/BABAPPA_0.5.0_alpha_clean/source_snapshot	dir	inspect	not matched by storage cleanup rules
2.3M	.git/objects/5d	dir	keep	Git repository metadata is protected
2.0M	release_artifacts/BABAPPA_0.5.0_alpha_clean/source_snapshot/src	dir	inspect	not matched by storage cleanup rules
2.0M	release_artifacts/BABAPPA_0.5.0_alpha_clean/source_snapshot/src/babappa	dir	inspect	not matched by storage cleanup rules
2.0M	.git/objects/5d/ed7e3a28c969ac9237426c813ec6f4eec2542a	file	keep	Git repository metadata is protected
2.0M	.git/objects/54	dir	keep	Git repository metadata is protected
1.9M	.git/objects/8f	dir	keep	Git repository metadata is protected
1.9M	.git/objects/63	dir	keep	Git repository metadata is protected
1.9M	.git/objects/29	dir	keep	Git repository metadata is protected
1.9M	.git/objects/54/3466669eb90cc9f32f161f57142eda9862ee0a	file	keep	Git repository metadata is protected
1.9M	.git/objects/63/a268c399f5a0a2036e7baf6dce50560bfe1ba5	file	keep	Git repository metadata is protected
1.9M	.git/objects/29/e14329eea66e18bb1c15cc1d936396d33bd7de	file	keep	Git repository metadata is protected
1.9M	.git/objects/dc	dir	keep	Git repository metadata is protected
1.9M	release_artifacts/BABAPPA_0.5.0_alpha_clean/reports	dir	inspect	not matched by storage cleanup rules
1.8M	cleanup_reports	dir	inspect	not matched by storage cleanup rules
1.8M	release_artifacts/BABAPPA_0.5.0_alpha_clean/reports/cleanup	dir	inspect	not matched by storage cleanup rules
1.8M	.git/objects/50	dir	keep	Git repository metadata is protected
1.8M	.git/objects/50/fbe46f17f1f11594d20212ed2dc09304847804	file	keep	Git repository metadata is protected
1.8M	.git/objects/8d/8f37965be1a3795a819f08f5cd587d4a701ebe	file	keep	Git repository metadata is protected
1.7M	.git/objects/35	dir	keep	Git repository metadata is protected
1.7M	.git/objects/8f/11247c02772e86f1d208c31a69dacc39bfe4c3	file	keep	Git repository metadata is protected
1.7M	cleanup_reports/heavy_file_inventory.tsv	file	inspect	lightweight file not covered by protected rules
1.7M	release_artifacts/BABAPPA_0.5.0_alpha_clean/reports/cleanup/heavy_file_inventory.tsv	file	inspect	lightweight file not covered by protected rules
1.7M	.git/objects/dc/70f8a9f378f64979e199e078fad9e282728d1b	file	keep	Git repository metadata is protected
1.6M	.git/objects/35/ac172ecbc7135bd9bba85167c3bc81a2f06183	file	keep	Git repository metadata is protected
1.6M	.git/objects/c9	dir	keep	Git repository metadata is protected
1.6M	tests	dir	keep	protected source, report, package, or evidence artifact
1.6M	.git/objects/21	dir	keep	Git repository metadata is protected
1.6M	.git/objects/21/ac95dacacca51b9c47027ba5e3bfd62c08745d	file	keep	Git repository metadata is protected
1.5M	.git/objects/04	dir	keep	Git repository metadata is protected
1.5M	real_empirical_pilot	dir	inspect	not matched by storage cleanup rules
1.4M	.git/objects/90	dir	keep	Git repository metadata is protected
1.4M	.git/objects/8c	dir	keep	Git repository metadata is protected
1.4M	.git/objects/39	dir	keep	Git repository metadata is protected
