path	type	size_bytes	size_human	category	recommendation	reason	reproducible	important
.git	dir	173516653	165.5M	git	keep	Git repository metadata is protected	no	yes
.git/COMMIT_EDITMSG	file	48	48B	git	keep	Git repository metadata is protected	no	yes
.git/FETCH_HEAD	file	104	104B	git	keep	Git repository metadata is protected	no	yes
.git/HEAD	file	23	23B	git	keep	Git repository metadata is protected	no	yes
.git/config	file	351	351B	git	keep	Git repository metadata is protected	no	yes
.git/description	file	73	73B	git	keep	Git repository metadata is protected	no	yes
.git/hooks	dir	26788	26.2K	git	keep	Git repository metadata is protected	no	yes
.git/hooks/applypatch-msg.sample	file	478	478B	git	keep	Git repository metadata is protected	no	yes
.git/hooks/commit-msg.sample	file	1972	1.9K	git	keep	Git repository metadata is protected	no	yes
.git/hooks/fsmonitor-watchman.sample	file	4611	4.5K	git	keep	Git repository metadata is protected	no	yes
.git/hooks/post-update.sample	file	189	189B	git	keep	Git repository metadata is protected	no	yes
.git/hooks/pre-applypatch.sample	file	424	424B	git	keep	Git repository metadata is protected	no	yes
.git/hooks/pre-commit.sample	file	1649	1.6K	git	keep	Git repository metadata is protected	no	yes
.git/hooks/pre-merge-commit.sample	file	416	416B	git	keep	Git repository metadata is protected	no	yes
.git/hooks/pre-push.sample	file	1374	1.3K	git	keep	Git repository metadata is protected	no	yes
.git/hooks/pre-rebase.sample	file	4898	4.8K	git	keep	Git repository metadata is protected	no	yes
.git/hooks/pre-receive.sample	file	544	544B	git	keep	Git repository metadata is protected	no	yes
.git/hooks/prepare-commit-msg.sample	file	1492	1.5K	git	keep	Git repository metadata is protected	no	yes
.git/hooks/push-to-checkout.sample	file	2783	2.7K	git	keep	Git repository metadata is protected	no	yes
.git/hooks/sendemail-validate.sample	file	2308	2.3K	git	keep	Git repository metadata is protected	no	yes
.git/hooks/update.sample	file	3650	3.6K	git	keep	Git repository metadata is protected	no	yes
.git/index	file	70056	68.4K	git	keep	Git repository metadata is protected	no	yes
.git/info	dir	240	240B	git	keep	Git repository metadata is protected	no	yes
.git/info/exclude	file	240	240B	git	keep	Git repository metadata is protected	no	yes
.git/logs	dir	2114	2.1K	git	keep	Git repository metadata is protected	no	yes
.git/logs/HEAD	file	556	556B	git	keep	Git repository metadata is protected	no	yes
.git/logs/refs	dir	1558	1.5K	git	keep	Git repository metadata is protected	no	yes
.git/logs/refs/heads	dir	556	556B	git	keep	Git repository metadata is protected	no	yes
.git/logs/refs/heads/master	file	556	556B	git	keep	Git repository metadata is protected	no	yes
.git/logs/refs/remotes	dir	1002	1002B	git	keep	Git repository metadata is protected	no	yes
.git/logs/refs/remotes/origin	dir	1002	1002B	git	keep	Git repository metadata is protected	no	yes
.git/logs/refs/remotes/origin/HEAD	file	678	678B	git	keep	Git repository metadata is protected	no	yes
.git/logs/refs/remotes/origin/master	file	324	324B	git	keep	Git repository metadata is protected	no	yes
.git/objects	dir	173416742	165.4M	git	keep	Git repository metadata is protected	no	yes
.git/objects/00	dir	121732	118.9K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/107a6463a53da571bbb1b8608f0d3d109e3e21	file	207	207B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/149881d27871d85c8e40cb74ba48d19a04e2f8	file	2057	2.0K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/1a322abdb56e430ef83049719950ff4016e24b	file	57235	55.9K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/2e79fe2e42c3fd7682e6015edc4a15edd5d05d	file	3099	3.0K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/386bf7e778d0eb2e607eac0fbcc2eea0a22bf2	file	18936	18.5K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/3c9996c57adeccf1d623fe93909f3874b69b99	file	635	635B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/616d5bb02a570dc5d9ae4bebe8515d686225e7	file	211	211B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/7698e09c02ad28237041da3ac109858f3b8dd6	file	432	432B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/800b794fe9457fbc88b310e6968d451a9e1798	file	8750	8.5K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/8050aea0f35ded6fda9807c7b762ca44c7d6a7	file	341	341B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/8166930f161ecc0511c695057ce2aa020d479f	file	428	428B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/82cf728337cc7ad3c2f5c2713a97291cee10d9	file	2066	2.0K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/83ff25be26446b8d1a7b29c780e4952f7ccc31	file	757	757B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/8503c191fbea0cd659464a3b7abc0ec056708b	file	2028	2.0K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/8adee402bdd7d427441f135cebd7ab355aecd0	file	2058	2.0K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/94f8ed5a55b02e28fbe1f584baddd0f6b68b78	file	2065	2.0K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/99b19d5e69482d25794aad6160aeaa435d6ec5	file	5779	5.6K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/9a99dca35aea65252ff99fdc4159e0e5e10294	file	340	340B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/9cc4417e9f96aac49572bc5ac1188e0cc01210	file	341	341B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/c9095319302fe51b3a6ec65201049db0876799	file	2066	2.0K	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/d1c846eb6d6109693de033df6cd0fd2d358534	file	735	735B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/db30fd7f750491fac78f3868a9b29fc4fb8679	file	915	915B	git	keep	Git repository metadata is protected	no	yes
.git/objects/00/e4218b3d3d413fb96931fbacb4d58aeadebdd5	file	2985	2.9K	git	keep	Git repository metadata is protected	no	yes
