path	type	size_bytes	size_human	category	recommendation	reason	reproducible	important
.pytest_cache	dir	36435	35.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
.pytest_cache/.gitignore	file	37	37B	logs_caches_temp	remove	cache/log/temp artifact	yes	no
.pytest_cache/CACHEDIR.TAG	file	191	191B	logs_caches_temp	remove	cache/log/temp artifact	yes	no
.pytest_cache/README.md	file	302	302B	logs_caches_temp	remove	cache/log/temp artifact	yes	no
.pytest_cache/v	dir	35905	35.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
.pytest_cache/v/cache	dir	35905	35.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
.pytest_cache/v/cache/nodeids	file	35905	35.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/__pycache__/__init__.cpython-311.pyc	file	247	247B	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/__pycache__/cli.cpython-311.pyc	file	454538	443.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/__pycache__/leakage_policy.cpython-311.pyc	file	2723	2.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/align/__pycache__/__init__.cpython-311.pyc	file	1512	1.5K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/align/__pycache__/audit.cpython-311.pyc	file	9917	9.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/align/__pycache__/backends.cpython-311.pyc	file	14201	13.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/align/__pycache__/ensemble.cpython-311.pyc	file	14562	14.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/align/__pycache__/external.cpython-311.pyc	file	55415	54.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/align/__pycache__/method_policy.cpython-311.pyc	file	20793	20.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/align/__pycache__/site_map.cpython-311.pyc	file	27760	27.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/align/__pycache__/site_map_audit.cpython-311.pyc	file	14447	14.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/benchmarks/__pycache__/__init__.cpython-311.pyc	file	1627	1.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/benchmarks/__pycache__/external_aligner_validation_plan.cpython-311.pyc	file	59028	57.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/benchmarks/__pycache__/large_run_plan.cpython-311.pyc	file	26001	25.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/benchmarks/__pycache__/large_run_plan_audit.cpython-311.pyc	file	5292	5.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
src/babappa/benchmarks/__pycache__/saturation_panel.cpython-311.pyc	file	13386	13.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
