panel_id	gene_family	species_group	cds_fasta	tree_file	foreground	expected_category	reference_status	notes
wrky_candidate_01	WRKY_transcription_factor_candidate_01	replace_with_species_group	../input/wrky_candidate_01.cds.fasta	../input/wrky_candidate_01.treefile	replace_with_foreground_taxon	likely_positive	planned	Candidate adaptive/evolutionary-interest family; provide real CDS and tree before running.
constans_like_candidate_01	CONSTANS_like_transcription_factor_candidate_01	replace_with_species_group	../input/constans_like_candidate_01.cds.fasta	../input/constans_like_candidate_01.treefile	replace_with_foreground_taxon	likely_positive	planned	Candidate transcription-factor family; diagnostic only.
immune_candidate_01	immune_or_host_interaction_candidate_01	replace_with_species_group	../input/immune_candidate_01.cds.fasta	../input/immune_candidate_01.treefile	replace_with_foreground_taxon	likely_positive	planned	Candidate immune/host-interaction family; document source and foreground rationale.
housekeeping_negative_01	housekeeping_conserved_gene_01	replace_with_species_group	../input/housekeeping_negative_01.cds.fasta	../input/housekeeping_negative_01.treefile	replace_with_foreground_taxon	likely_negative	planned	Likely negative/conserved control.
housekeeping_negative_02	housekeeping_conserved_gene_02	replace_with_species_group	../input/housekeeping_negative_02.cds.fasta	../input/housekeeping_negative_02.treefile	replace_with_foreground_taxon	likely_negative	planned	Likely negative/conserved control.
gst_detox_candidate_01	GST_detoxification_candidate_01	replace_with_species_group	../input/gst_detox_candidate_01.cds.fasta	../input/gst_detox_candidate_01.treefile	replace_with_foreground_taxon	likely_positive	planned	Candidate detoxification family; diagnostic only.
alignment_sensitive_01	alignment_sensitive_family_01	replace_with_species_group	../input/alignment_sensitive_01.cds.fasta	../input/alignment_sensitive_01.treefile	replace_with_foreground_taxon	alignment_sensitive	planned	Moderate alignment difficulty but not unusable.
alignment_sensitive_02	alignment_sensitive_family_02	replace_with_species_group	../input/alignment_sensitive_02.cds.fasta	../input/alignment_sensitive_02.treefile	replace_with_foreground_taxon	alignment_sensitive	planned	Second alignment sensitivity probe if available.
saturated_01	high_divergence_family_01	replace_with_species_group	../input/saturated_01.cds.fasta	../input/saturated_01.treefile	replace_with_foreground_taxon	saturated	planned	High-divergence/OOD probe.
saturated_02	high_divergence_family_02	replace_with_species_group	../input/saturated_02.cds.fasta	../input/saturated_02.treefile	replace_with_foreground_taxon	saturated	planned	Second high-divergence/OOD probe if available.
short_low_information_01	short_low_information_family_01	replace_with_species_group	../input/short_low_information_01.cds.fasta	../input/short_low_information_01.treefile	replace_with_foreground_taxon	short_low_information	planned	Short/low-information probe.
paralogy_risk_01	possible_paralogy_duplication_risk_01	replace_with_species_group	../input/paralogy_risk_01.cds.fasta	../input/paralogy_risk_01.treefile	replace_with_foreground_taxon	paralogy_risk	planned	Possible paralogy/duplication risk; use only with orthology QC.
WRKY_candidate_01	WRKY_candidate_01	plants	../input/cds/WRKY_candidate_01.cds.fasta	../input/trees/WRKY_candidate_01.treefile	Arabidopsis_thaliana	unknown	planned	Ensembl Plants BLASTP-derived WRKY33-like ortholog candidate set; 6 taxa recovered; diagnostic pilot only
