tier	regime_id	n_families	n_taxa	n_codons	mutation_rate	selected_site_fraction	seed
low	short_6taxa	5000	6	120	0.04	0.03	42
low	compact_8taxa	5000	8	240	0.045	0.04	43
low	standard_12taxa	5000	12	420	0.05	0.05	44
low	long_20taxa	5000	20	720	0.055	0.04	45
low	very_long_32taxa	5000	32	960	0.06	0.03	46
moderate	short_6taxa	5000	6	120	0.04	0.03	1042
moderate	compact_8taxa	5000	8	240	0.045	0.04	1043
moderate	standard_12taxa	5000	12	420	0.05	0.05	1044
moderate	long_20taxa	5000	20	720	0.055	0.04	1045
moderate	very_long_32taxa	5000	32	960	0.06	0.03	1046
high	short_6taxa	5000	6	120	0.04	0.03	2042
high	compact_8taxa	5000	8	240	0.045	0.04	2043
high	standard_12taxa	5000	12	420	0.05	0.05	2044
high	long_20taxa	5000	20	720	0.055	0.04	2045
high	very_long_32taxa	5000	32	960	0.06	0.03	2046
extreme	short_6taxa	5000	6	120	0.04	0.03	3042
extreme	compact_8taxa	5000	8	240	0.045	0.04	3043
extreme	standard_12taxa	5000	12	420	0.05	0.05	3044
extreme	long_20taxa	5000	20	720	0.055	0.04	3045
extreme	very_long_32taxa	5000	32	960	0.06	0.03	3046
