panel_id	gene_family	foreground	expected_category	manifest_cds_fasta	manifest_tree_file	manifest_cds_exists	manifest_tree_exists	suggested_cds_fasta	suggested_tree_file	suggested_cds_exists	suggested_tree_exists	status
wrky_candidate_01	WRKY_transcription_factor_candidate_01	replace_with_foreground_taxon	likely_positive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/wrky_candidate_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/wrky_candidate_01.treefile	False	False	real_empirical_pilot/input/cds/wrky_candidate_01.cds.fasta	real_empirical_pilot/input/trees/wrky_candidate_01.treefile	False	False	missing_inputs
constans_like_candidate_01	CONSTANS_like_transcription_factor_candidate_01	replace_with_foreground_taxon	likely_positive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/constans_like_candidate_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/constans_like_candidate_01.treefile	False	False	real_empirical_pilot/input/cds/constans_like_candidate_01.cds.fasta	real_empirical_pilot/input/trees/constans_like_candidate_01.treefile	False	False	missing_inputs
immune_candidate_01	immune_or_host_interaction_candidate_01	replace_with_foreground_taxon	likely_positive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/immune_candidate_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/immune_candidate_01.treefile	False	False	real_empirical_pilot/input/cds/immune_candidate_01.cds.fasta	real_empirical_pilot/input/trees/immune_candidate_01.treefile	False	False	missing_inputs
housekeeping_negative_01	housekeeping_conserved_gene_01	replace_with_foreground_taxon	likely_negative	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_01.treefile	False	False	real_empirical_pilot/input/cds/housekeeping_negative_01.cds.fasta	real_empirical_pilot/input/trees/housekeeping_negative_01.treefile	False	False	missing_inputs
housekeeping_negative_02	housekeeping_conserved_gene_02	replace_with_foreground_taxon	likely_negative	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_02.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_02.treefile	False	False	real_empirical_pilot/input/cds/housekeeping_negative_02.cds.fasta	real_empirical_pilot/input/trees/housekeeping_negative_02.treefile	False	False	missing_inputs
gst_detox_candidate_01	GST_detoxification_candidate_01	replace_with_foreground_taxon	likely_positive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/gst_detox_candidate_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/gst_detox_candidate_01.treefile	False	False	real_empirical_pilot/input/cds/gst_detox_candidate_01.cds.fasta	real_empirical_pilot/input/trees/gst_detox_candidate_01.treefile	False	False	missing_inputs
alignment_sensitive_01	alignment_sensitive_family_01	replace_with_foreground_taxon	alignment_sensitive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_01.treefile	False	False	real_empirical_pilot/input/cds/alignment_sensitive_01.cds.fasta	real_empirical_pilot/input/trees/alignment_sensitive_01.treefile	False	False	missing_inputs
alignment_sensitive_02	alignment_sensitive_family_02	replace_with_foreground_taxon	alignment_sensitive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_02.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_02.treefile	False	False	real_empirical_pilot/input/cds/alignment_sensitive_02.cds.fasta	real_empirical_pilot/input/trees/alignment_sensitive_02.treefile	False	False	missing_inputs
saturated_01	high_divergence_family_01	replace_with_foreground_taxon	saturated	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_01.treefile	False	False	real_empirical_pilot/input/cds/saturated_01.cds.fasta	real_empirical_pilot/input/trees/saturated_01.treefile	False	False	missing_inputs
saturated_02	high_divergence_family_02	replace_with_foreground_taxon	saturated	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_02.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_02.treefile	False	False	real_empirical_pilot/input/cds/saturated_02.cds.fasta	real_empirical_pilot/input/trees/saturated_02.treefile	False	False	missing_inputs
