path	size	category	decision	reason
.DS_Store	12K	file	manual_review	not matched by cleanup policy
.gitignore	4.0K	file	keep_git	source, docs, tests, manuscript, or release metadata
.pytest_cache	52K	directory	delete	generated simulation/training/alignment/tensor/report artifact not needed for GitHub source tree
.stage_complete_extreme_aggregation	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_aggregation_policy	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_align	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_audit_sim	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_branch_dataset	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_branch_neural	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_calibration	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_controls	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_index	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_labels	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_leakage	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_method_policy	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_simulate	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_site_map	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_summary	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_tensors	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_threshold	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_truth_audit	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_validate_aggregation	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_validate_branch_dataset	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_validate_branch_neural	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_validate_controls	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_validate_labels	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_validate_method_policy	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_validate_sim	0B	file	delete	temporary marker/log/scratch file
.stage_complete_extreme_validate_tensors	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_aggregation	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_aggregation_policy	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_align	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_audit_sim	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_branch_dataset	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_branch_neural	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_calibration	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_controls	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_index	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_labels	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_leakage	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_method_policy	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_simulate	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_site_map	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_summary	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_tensors	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_threshold	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_truth_audit	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_validate_aggregation	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_validate_branch_dataset	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_validate_branch_neural	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_validate_controls	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_validate_labels	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_validate_method_policy	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_validate_sim	0B	file	delete	temporary marker/log/scratch file
.stage_complete_high_validate_tensors	0B	file	delete	temporary marker/log/scratch file
.stage_complete_low_aggregation	0B	file	delete	temporary marker/log/scratch file
.stage_complete_low_aggregation_policy	0B	file	delete	temporary marker/log/scratch file
.stage_complete_low_align	0B	file	delete	temporary marker/log/scratch file
