panel_id	gene_family	expected_category	cds_fasta	tree_file	files_present	input_qc_status	foreground	foreground_valid	tree_compatible	ready	failures	warnings
wrky_candidate_01	WRKY_transcription_factor_candidate_01	likely_positive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/wrky_candidate_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/wrky_candidate_01.treefile	False	missing_files	replace_with_foreground_taxon	False	False	False	missing_cds_fasta:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/wrky_candidate_01.cds.fasta;missing_tree_file:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/wrky_candidate_01.treefile	
constans_like_candidate_01	CONSTANS_like_transcription_factor_candidate_01	likely_positive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/constans_like_candidate_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/constans_like_candidate_01.treefile	False	missing_files	replace_with_foreground_taxon	False	False	False	missing_cds_fasta:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/constans_like_candidate_01.cds.fasta;missing_tree_file:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/constans_like_candidate_01.treefile	
immune_candidate_01	immune_or_host_interaction_candidate_01	likely_positive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/immune_candidate_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/immune_candidate_01.treefile	False	missing_files	replace_with_foreground_taxon	False	False	False	missing_cds_fasta:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/immune_candidate_01.cds.fasta;missing_tree_file:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/immune_candidate_01.treefile	
housekeeping_negative_01	housekeeping_conserved_gene_01	likely_negative	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_01.treefile	False	missing_files	replace_with_foreground_taxon	False	False	False	missing_cds_fasta:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_01.cds.fasta;missing_tree_file:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_01.treefile	
housekeeping_negative_02	housekeeping_conserved_gene_02	likely_negative	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_02.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_02.treefile	False	missing_files	replace_with_foreground_taxon	False	False	False	missing_cds_fasta:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_02.cds.fasta;missing_tree_file:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/housekeeping_negative_02.treefile	
gst_detox_candidate_01	GST_detoxification_candidate_01	likely_positive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/gst_detox_candidate_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/gst_detox_candidate_01.treefile	False	missing_files	replace_with_foreground_taxon	False	False	False	missing_cds_fasta:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/gst_detox_candidate_01.cds.fasta;missing_tree_file:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/gst_detox_candidate_01.treefile	
alignment_sensitive_01	alignment_sensitive_family_01	alignment_sensitive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_01.treefile	False	missing_files	replace_with_foreground_taxon	False	False	False	missing_cds_fasta:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_01.cds.fasta;missing_tree_file:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_01.treefile	
alignment_sensitive_02	alignment_sensitive_family_02	alignment_sensitive	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_02.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_02.treefile	False	missing_files	replace_with_foreground_taxon	False	False	False	missing_cds_fasta:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_02.cds.fasta;missing_tree_file:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/alignment_sensitive_02.treefile	
saturated_01	high_divergence_family_01	saturated	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_01.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_01.treefile	False	missing_files	replace_with_foreground_taxon	False	False	False	missing_cds_fasta:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_01.cds.fasta;missing_tree_file:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_01.treefile	
saturated_02	high_divergence_family_02	saturated	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_02.cds.fasta	/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_02.treefile	False	missing_files	replace_with_foreground_taxon	False	False	False	missing_cds_fasta:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_02.cds.fasta;missing_tree_file:/Users/krishnendu/Documents/GitHub/BABAPPA/real_empirical_pilot/input/saturated_02.treefile	
