panel_id	cds_fasta	tree_file	metadata
wrky_candidate_01	real_empirical_pilot/input/cds/wrky_candidate_01.cds.fasta	real_empirical_pilot/input/trees/wrky_candidate_01.treefile	real_empirical_pilot/input/metadata/wrky_candidate_01.metadata.tsv
constans_like_candidate_01	real_empirical_pilot/input/cds/constans_like_candidate_01.cds.fasta	real_empirical_pilot/input/trees/constans_like_candidate_01.treefile	real_empirical_pilot/input/metadata/constans_like_candidate_01.metadata.tsv
immune_candidate_01	real_empirical_pilot/input/cds/immune_candidate_01.cds.fasta	real_empirical_pilot/input/trees/immune_candidate_01.treefile	real_empirical_pilot/input/metadata/immune_candidate_01.metadata.tsv
housekeeping_negative_01	real_empirical_pilot/input/cds/housekeeping_negative_01.cds.fasta	real_empirical_pilot/input/trees/housekeeping_negative_01.treefile	real_empirical_pilot/input/metadata/housekeeping_negative_01.metadata.tsv
housekeeping_negative_02	real_empirical_pilot/input/cds/housekeeping_negative_02.cds.fasta	real_empirical_pilot/input/trees/housekeeping_negative_02.treefile	real_empirical_pilot/input/metadata/housekeeping_negative_02.metadata.tsv
gst_detox_candidate_01	real_empirical_pilot/input/cds/gst_detox_candidate_01.cds.fasta	real_empirical_pilot/input/trees/gst_detox_candidate_01.treefile	real_empirical_pilot/input/metadata/gst_detox_candidate_01.metadata.tsv
alignment_sensitive_01	real_empirical_pilot/input/cds/alignment_sensitive_01.cds.fasta	real_empirical_pilot/input/trees/alignment_sensitive_01.treefile	real_empirical_pilot/input/metadata/alignment_sensitive_01.metadata.tsv
alignment_sensitive_02	real_empirical_pilot/input/cds/alignment_sensitive_02.cds.fasta	real_empirical_pilot/input/trees/alignment_sensitive_02.treefile	real_empirical_pilot/input/metadata/alignment_sensitive_02.metadata.tsv
saturated_01	real_empirical_pilot/input/cds/saturated_01.cds.fasta	real_empirical_pilot/input/trees/saturated_01.treefile	real_empirical_pilot/input/metadata/saturated_01.metadata.tsv
saturated_02	real_empirical_pilot/input/cds/saturated_02.cds.fasta	real_empirical_pilot/input/trees/saturated_02.treefile	real_empirical_pilot/input/metadata/saturated_02.metadata.tsv
short_low_information_01	real_empirical_pilot/input/cds/short_low_information_01.cds.fasta	real_empirical_pilot/input/trees/short_low_information_01.treefile	real_empirical_pilot/input/metadata/short_low_information_01.metadata.tsv
paralogy_risk_01	real_empirical_pilot/input/cds/paralogy_risk_01.cds.fasta	real_empirical_pilot/input/trees/paralogy_risk_01.treefile	real_empirical_pilot/input/metadata/paralogy_risk_01.metadata.tsv
